,stage,time_index,time_step
0,L,0,30
1,L,30,30
2,L,60,30
3,L,90,30
4,L,120,30
5,L,150,30
6,L,180,30
7,L,210,30
8,L,240,30
9,L,270,30
10,L,300,30
11,L,330,30
12,L,360,30
13,L,390,30
14,L,420,30
15,L,450,30
16,L,480,30
17,L,510,30
18,L,540,30
19,L,570,30
20,L,600,30
21,L,630,30
22,L,660,30
23,W,690,30
24,W,720,30
25,W,750,30
26,W,780,30
27,W,810,30
28,W,840,30
29,W,870,30
30,W,900,30
31,W,930,30
32,W,960,30
33,W,990,30
34,W,1020,30
35,W,1050,30
36,W,1080,30
37,W,1110,30
38,W,1140,30
39,W,1170,30
40,W,1200,30
41,W,1230,30
42,W,1260,30
43,W,1290,30
44,W,1320,30
45,W,1350,30
46,W,1380,30
47,W,1410,30
48,W,1440,30
49,N1,1470,30
50,N1,1500,30
51,N1,1530,30
52,N1,1560,30
53,N1,1590,30
54,N1,1620,30
55,N1,1650,30
56,N1,1680,30
57,N2,1710,30
58,N1,1740,30
59,N1,1770,30
60,N1,1800,30
61,N2,1830,30
62,N2,1860,30
63,N1,1890,30
64,N1,1920,30
65,N2,1950,30
66,W,1980,30
67,N1,2010,30
68,N1,2040,30
69,N1,2070,30
70,N1,2100,30
71,N2,2130,30
72,N2,2160,30
73,N2,2190,30
74,N2,2220,30
75,N2,2250,30
76,N2,2280,30
77,N3,2310,30
78,N3,2340,30
79,N3,2370,30
80,N3,2400,30
81,N3,2430,30
82,N3,2460,30
83,N3,2490,30
84,N3,2520,30
85,N3,2550,30
86,N3,2580,30
87,N3,2610,30
88,N3,2640,30
89,N3,2670,30
90,N3,2700,30
91,N3,2730,30
92,N3,2760,30
93,N3,2790,30
94,N3,2820,30
95,N3,2850,30
96,N3,2880,30
97,N3,2910,30
98,N3,2940,30
99,N3,2970,30
100,N3,3000,30
101,N3,3030,30
102,N3,3060,30
103,N3,3090,30
104,N3,3120,30
105,N3,3150,30
106,N3,3180,30
107,N3,3210,30
108,N3,3240,30
109,N2,3270,30
110,W,3300,30
111,W,3330,30
112,N1,3360,30
113,N1,3390,30
114,N1,3420,30
115,N1,3450,30
116,N1,3480,30
117,N1,3510,30
118,N2,3540,30
119,N2,3570,30
120,N2,3600,30
121,N2,3630,30
122,N2,3660,30
123,N2,3690,30
124,N2,3720,30
125,N2,3750,30
126,N2,3780,30
127,N2,3810,30
128,N2,3840,30
129,N2,3870,30
130,N2,3900,30
131,N2,3930,30
132,N3,3960,30
133,N3,3990,30
134,N3,4020,30
135,N3,4050,30
136,N3,4080,30
137,N3,4110,30
138,N3,4140,30
139,N3,4170,30
140,N3,4200,30
141,N3,4230,30
142,N3,4260,30
143,N3,4290,30
144,N3,4320,30
145,N3,4350,30
146,N3,4380,30
147,N3,4410,30
148,N3,4440,30
149,N3,4470,30
150,N2,4500,30
151,N3,4530,30
152,N3,4560,30
153,N3,4590,30
154,N3,4620,30
155,N3,4650,30
156,N3,4680,30
157,N3,4710,30
158,N3,4740,30
159,N3,4770,30
160,N3,4800,30
161,N3,4830,30
162,N3,4860,30
163,N3,4890,30
164,N3,4920,30
165,N3,4950,30
166,N3,4980,30
167,N3,5010,30
168,N3,5040,30
169,N3,5070,30
170,N3,5100,30
171,N3,5130,30
172,N3,5160,30
173,N3,5190,30
174,N3,5220,30
175,N3,5250,30
176,N3,5280,30
177,N3,5310,30
178,N3,5340,30
179,N3,5370,30
180,N3,5400,30
181,N3,5430,30
182,N3,5460,30
183,N3,5490,30
184,N3,5520,30
185,N3,5550,30
186,N3,5580,30
187,N3,5610,30
188,N3,5640,30
189,N2,5670,30
190,N3,5700,30
191,N3,5730,30
192,N3,5760,30
193,N3,5790,30
194,N3,5820,30
195,N3,5850,30
196,N3,5880,30
197,N3,5910,30
198,N3,5940,30
199,N3,5970,30
200,N3,6000,30
201,N3,6030,30
202,N3,6060,30
203,N2,6090,30
204,N2,6120,30
205,N2,6150,30
206,N2,6180,30
207,N2,6210,30
208,N2,6240,30
209,N2,6270,30
210,N2,6300,30
211,N2,6330,30
212,N2,6360,30
213,N2,6390,30
214,N2,6420,30
215,R,6450,30
216,R,6480,30
