Subject,Epoch,StartTime,Electrode,Electrode_Label,Delta,Theta,Alpha,Beta
EPCTL01,0,0,30,AF3-Ref,0.41991397907091566,0.18768699442863662,0.079100687953645,0.14074717838587478
EPCTL01,0,0,31,F11,0.49836402464502955,0.18031380721586976,0.060344178117052366,0.09325021006747763
EPCTL01,0,0,32,F5-Ref,0.414560332256371,0.19396437440895486,0.07727983601983188,0.14146887875017577
EPCTL01,0,0,33,F1-Ref,0.38383102310493905,0.19607531143490328,0.08475500563713026,0.1553566780610468
EPCTL01,0,0,34,FT11,0.505073803321238,0.18486980373022455,0.05912676223210898,0.0825547566720891
EPCTL01,0,0,35,FT9-Ref,0.4782218641744227,0.19667179602511814,0.06534900128065617,0.08771802279363282
EPCTL01,0,0,36,FT7-Ref,0.42139715589109644,0.20346274134894662,0.07606144354199301,0.11403971029377385
EPCTL01,0,0,37,FC5-Ref,0.36959894504738106,0.1622465671975568,0.07094511093443229,0.20650939357462592
EPCTL01,0,0,38,FC3-Ref,0.3492521007773543,0.18358688447142804,0.0838233033771531,0.20054245379806954
EPCTL01,0,0,39,FC1-Ref,0.3339977624865751,0.20375662986420917,0.09616986372595504,0.17540062494804803
EPCTL01,0,0,40,FCZ-Ref,0.3326965026730385,0.22945026102471006,0.09566194849921728,0.15586454127529364
EPCTL01,0,0,41,C5-Ref,0.38137840141770457,0.18201393902145166,0.08077261056264713,0.1761128806298297
EPCTL01,0,0,42,C1-Ref,0.3471301768596576,0.2248399796016674,0.09252304825869433,0.15059838053132257
EPCTL01,0,0,43,TP11,0.49068590644262006,0.19035879979517956,0.06398567097114147,0.09061546092949548
EPCTL01,0,0,44,TP9-Ref,0.4551561306273874,0.20930290806571175,0.07042026744929294,0.09345346255089587
EPCTL01,0,0,45,TP7-Ref,0.38039327749946955,0.21271976045862176,0.08217358974754047,0.13881133724690528
EPCTL01,0,0,46,CP3-Ref,0.37388216755950116,0.18965954089181578,0.09220368906592988,0.17454725959693732
EPCTL01,0,0,47,CP1-Ref,0.4076695809038513,0.18597479031004283,0.08559898675113274,0.15633278742234458
EPCTL01,0,0,48,P11,0.470036539596092,0.19069909542846805,0.0680291693000305,0.10534505278152345
EPCTL01,0,0,49,P5-Ref,0.3816850525586163,0.23416444450697182,0.09374747739331878,0.11755171969297717
EPCTL01,0,0,50,P1-Ref,0.3887514645756031,0.22900509164926222,0.08714247401149174,0.12617521974239823
EPCTL01,0,0,51,PO7-Ref,0.38531126841261837,0.23448403053244773,0.0972584294455089,0.1112706517520945
EPCTL01,0,0,52,PO3-Ref,0.3888064182227766,0.24387592360164198,0.08971751677076832,0.10599974274400989
EPCTL01,0,0,53,POZ-Ref,0.38342184172859517,0.25605996020386035,0.08594068241286555,0.09848384798055428
EPCTL01,0,0,54,OZ-Ref,0.3934540515057274,0.25728657455976184,0.0767881773058628,0.08623932314853344
EPCTL01,0,0,55,FPZ-Ref,0.48198001495140164,0.16386287145041475,0.07837194753011288,0.12052551785593617
EPCTL01,0,0,56,AFZ-Ref,0.4287610222710365,0.19130581160017954,0.08217470874429095,0.1284707339058918
EPCTL01,0,0,57,AF4-Ref,0.48649942309366406,0.16590005449494896,0.07498247875525116,0.1230739582142716
EPCTL01,0,0,58,AF8-Ref,0.5424285902200372,0.14076129201340967,0.06607397804917739,0.10844057920917016
EPCTL01,0,0,59,F2-Ref,0.43045325166525805,0.19244280927628002,0.07553680733034168,0.13939502910009727
EPCTL01,0,0,60,F6-Ref,0.4948024658407813,0.1512182276236255,0.06768962637155725,0.13359247057613702
EPCTL01,0,0,61,F12,0.4714981683081198,0.16686453146044325,0.06497027696701933,0.12532035005379197
EPCTL01,0,0,62,FC2-Ref,0.39750096506734106,0.19708783265296487,0.08001506925034597,0.15687448332727308
EPCTL01,0,0,63,FC4-Ref,0.4466981941272095,0.15082331932849047,0.0688174820046243,0.17278783337689943
EPCTL01,0,0,64,FC6-Ref,0.45071001263082866,0.15816678407386706,0.06865519677650503,0.14629134063639812
EPCTL01,0,0,65,FT8-Ref,0.4533823126175084,0.1768392183843525,0.0717371835639652,0.11511771540557804
EPCTL01,0,0,66,FT10-Ref,0.474028297995231,0.18096050490324514,0.06883712639248388,0.09830647752097399
EPCTL01,0,0,67,FT12,0.47219141126788006,0.18195479556436706,0.06696584663473332,0.10256405169220904
EPCTL01,0,0,68,C6-Ref,0.36920512135723227,0.19214478463654336,0.08925204063928695,0.1544998119738942
EPCTL01,0,0,69,C2-Ref,0.3101133894735027,0.22964552209285374,0.09559128066906955,0.17215595647879814
EPCTL01,0,0,70,CPZ-Ref,0.3259030075468571,0.24517308839779722,0.09363642620728167,0.14825631702769546
EPCTL01,0,0,71,CP2-Ref,0.3542845506417111,0.20078346341992173,0.09297058649713374,0.18193895554269346
EPCTL01,0,0,72,CP4-Ref,0.32492916763208407,0.19139366939808897,0.10047950483659791,0.2025832061379321
EPCTL01,0,0,73,CP6-Ref,0.32508749256823816,0.2187023371211234,0.1085582629669579,0.14650194149613538
EPCTL01,0,0,74,TP8-Ref,0.3620914420397014,0.21899515664428573,0.10228508815099256,0.1214605483434668
EPCTL01,0,0,75,TP10-Ref,0.4239734472998667,0.20718271570440658,0.08033781960634373,0.10445666692091059
EPCTL01,0,0,76,TP12,0.4535151458707407,0.1746947685482193,0.0618992069917677,0.12660316494191856
EPCTL01,0,0,77,P2-Ref,0.3740291134366541,0.2171021871200434,0.09471592423827396,0.1451177265693597
EPCTL01,0,0,78,P6-Ref,0.3239576732593944,0.2291848914036035,0.11551052901312724,0.13751486519510525
EPCTL01,0,0,79,P12,0.46330707055136344,0.19415501807881622,0.06699865679967217,0.10007482115382786
EPCTL01,0,0,80,PO4-Ref,0.3682354892693993,0.22981258733161253,0.10315099768911948,0.11917190009276746
EPCTL01,0,0,81,PO8-Ref,0.36037062929617636,0.23527837263101514,0.10949314276499296,0.11140133342780513
EPCTL01,0,0,82,ChEMG1,0.9061346355971736,0.035804796780159874,0.006494204418207026,0.0032022783511597807
EPCTL01,0,0,83,ChEMG2,0.25320384439763766,0.18195249233625188,0.11986892502444471,0.28333680965356145
EPCTL01,0,0,84,RLEG-,0.8162315577058222,0.06720519589352152,0.01962002044317796,0.019273393253064083
EPCTL01,0,0,85,RLEG+,0.20085783382963346,0.17183991442663052,0.13685043517717255,0.33196823814273185
EPCTL01,0,0,86,LLEG-,0.6448887154750357,0.11060732787248985,0.050808969904738294,0.07716910104747904
EPCTL01,0,0,87,LLEG+,0.5651286396525093,0.15305057588921966,0.05443678817493005,0.08391708025735661
EPCTL01,0,0,88,EOG2,0.42298589927478614,0.12926755524643047,0.08749977857231153,0.21895430089359005
EPCTL01,0,0,89,EOG1,0.9016223615812401,0.037828740873195675,0.007555773477261893,0.0047669944897459696
EPCTL01,0,0,90,ECG2,0.19527431975242207,0.16797320419283576,0.13865556224845035,0.3413710035540452
EPCTL01,0,0,91,ECG1,0.9056430716848962,0.03612967886031399,0.006579375933260689,0.0032689504466642087
EPCTL01,0,0,92,CP5,0.38051261165202627,0.222985716286368,0.09285894327226822,0.12927196583352352
EPCTL01,1,60,0,Fp1-Ref,0.543688674192807,0.1479163903875907,0.05438131497413456,0.09250867396795569
EPCTL01,1,60,1,Fp2-Ref,0.5481099873111853,0.14893454177456525,0.059594137797327355,0.08692882685972865
EPCTL01,1,60,2,F3-Ref,0.49531332715999987,0.1459041389992748,0.04931653348918366,0.1603302448034348
EPCTL01,1,60,3,F4-Ref,0.48118933919606377,0.16608794138685543,0.06646242007029711,0.13004908167228196
EPCTL01,1,60,4,C3-Ref,0.420480463278623,0.14725293801042208,0.06992185569314355,0.1978398069418838
EPCTL01,1,60,5,C4-Ref,0.42033509718539513,0.14823609101720278,0.06952932947720138,0.19790274284176282
EPCTL01,1,60,6,P3-Ref,0.4533380582636311,0.20804425183854175,0.07260322994011822,0.11013038569410406
EPCTL01,1,60,7,P4-Ref,0.42063513787536877,0.21203354037829517,0.07224909961689928,0.12390098416653421
EPCTL01,1,60,8,O1-Ref,0.4713539912828146,0.2241994389293105,0.06905328953242,0.07473933080915925
EPCTL01,1,60,9,O2-Ref,0.4484471590172399,0.22170770251416638,0.07175110458542747,0.0827751265922153
EPCTL01,1,60,10,F7-Ref,0.5373578275626913,0.1603654406850711,0.048946810829730465,0.08602595451518895
EPCTL01,1,60,11,F8-Ref,0.5227250013277471,0.16698428081320324,0.05215992712216244,0.09090319967485445
EPCTL01,1,60,12,T3-Ref,0.5030718470653631,0.1845189315846389,0.05572759070576549,0.09221766414950744
EPCTL01,1,60,13,T4-Ref,0.5046299203238416,0.17039832644276237,0.05749850022906589,0.09540134252991464
EPCTL01,1,60,14,T5-Ref,0.4769589396265984,0.2093250532253372,0.06373169623769208,0.0937864396224505
EPCTL01,1,60,15,T6-Ref,0.44748694376246023,0.19587615874835537,0.07368586063750873,0.10824598638478788
EPCTL01,1,60,16,FZ-Ref,0.5458988120586038,0.1521681591064836,0.050101425040540624,0.12365447405408501
EPCTL01,1,60,17,CZ-Ref,0.35211477529362295,0.25067807238619383,0.05500238330095327,0.13167635429240454
EPCTL01,1,60,18,PZ-Ref,0.38634028423574174,0.24195565878934344,0.09126971737674958,0.11278577963997832
EPCTL01,1,60,19,SO1-Ref,0.5631702174400693,0.14572054791670633,0.047713259322335354,0.08405240247220672
EPCTL01,1,60,20,SO2-Ref,0.5491004429849525,0.1481093103400497,0.05577098476617946,0.08767715556995657
EPCTL01,1,60,21,F9-Ref,0.5816875662069804,0.14803784607961687,0.04380506311831575,0.06888687818046373
EPCTL01,1,60,22,F10-Ref,0.5591506473754915,0.15366489262952723,0.04694236902429202,0.07623256613414034
EPCTL01,1,60,23,ZY1,0.584124734616503,0.15144410388395194,0.04252594043474496,0.06152973666504222
EPCTL01,1,60,24,ZY2,0.5637233986355727,0.1506931799481688,0.04699262730744876,0.07366983921123034
EPCTL01,1,60,25,T9-Ref,0.5552677933572296,0.16470151622379536,0.04827562531554286,0.06968479946449187
EPCTL01,1,60,26,T10-Ref,0.5525520647806171,0.15885378616880697,0.04725205803714719,0.07483076333930899
EPCTL01,1,60,27,P9-Ref,0.5105510505908867,0.19502179578704318,0.054750078604618224,0.08273911096957075
EPCTL01,1,60,28,P10-Ref,0.5148842098320181,0.17870890422823532,0.05770457416519622,0.08675137774920479
EPCTL01,1,60,29,AF7-Ref,0.5668183021690413,0.14822949374754443,0.04542690234988838,0.08172286613906124
EPCTL01,1,60,30,AF3-Ref,0.529554558664676,0.14890431527214626,0.05380593507961792,0.11307233830318048
EPCTL01,1,60,31,F11,0.5867825684530543,0.1485339296789335,0.042662878659702454,0.0626981124626162
EPCTL01,1,60,32,F5-Ref,0.50538898092027,0.16175698998475457,0.04939294509663907,0.11501378686170674
EPCTL01,1,60,33,F1-Ref,0.5433508647393748,0.1432252606364508,0.04930654334953192,0.1338682215720175
EPCTL01,1,60,34,FT11,0.5848530807167703,0.1524142004372072,0.0428249354993847,0.06017275487568536
EPCTL01,1,60,35,FT9-Ref,0.5623882565778373,0.15799090811858416,0.045991626338898375,0.07044838405901094
EPCTL01,1,60,36,FT7-Ref,0.5122568850218073,0.16977044169952327,0.054363295495513275,0.09355426715276463
EPCTL01,1,60,37,FC5-Ref,0.4937278683417517,0.16937439206513713,0.05185532247775819,0.11445730405499106
EPCTL01,1,60,38,FC3-Ref,0.494483326053356,0.1438005207143253,0.052031132448129555,0.162371498304936
EPCTL01,1,60,39,FC1-Ref,0.5115506364654896,0.15106532101575837,0.049608995079121386,0.14692447039205292
EPCTL01,1,60,40,FCZ-Ref,0.47908497894275864,0.17732702721170465,0.05238981697669041,0.1316579581342037
EPCTL01,1,60,41,C5-Ref,0.47411210532787895,0.17926650169255,0.06004552416700023,0.12138369920830876
EPCTL01,1,60,42,C1-Ref,0.4005252382586437,0.22095029249168066,0.056121648372097384,0.1256867044394666
EPCTL01,1,60,43,TP11,0.5710830520261315,0.1594967765634478,0.045808824075348184,0.06903440388019592
EPCTL01,1,60,44,TP9-Ref,0.5365831336084307,0.17839071027763498,0.05065211789202842,0.07648710005633713
EPCTL01,1,60,45,TP7-Ref,0.4782076485309062,0.1951904704365036,0.05930068955685295,0.10690760517892478
EPCTL01,1,60,46,CP3-Ref,0.41788022689352367,0.1779105396483544,0.07987029746787339,0.16625718124926003
EPCTL01,1,60,47,CP1-Ref,0.38250857751411876,0.21209231522324026,0.08404341655121791,0.1443292244833056
EPCTL01,1,60,48,P11,0.5472334290589427,0.16631524999700822,0.04870817486488147,0.08226059785134547
EPCTL01,1,60,49,P5-Ref,0.46095095528273455,0.2115551898836229,0.06720396227332717,0.10278329141260098
EPCTL01,1,60,50,P1-Ref,0.4192204811531868,0.2221206445917555,0.08354534542845955,0.1125854429893842
EPCTL01,1,60,51,PO7-Ref,0.4673316493632643,0.21574219309222537,0.06813890728075364,0.09178017657698953
EPCTL01,1,60,52,PO3-Ref,0.4656464694467631,0.2144610283508867,0.07051865935082112,0.09069319561206206
EPCTL01,1,60,53,POZ-Ref,0.42374417074992604,0.24149556534058234,0.08112559324103641,0.08102844539657593
EPCTL01,1,60,54,OZ-Ref,0.43063301495479483,0.24185773838968308,0.07234512385944757,0.07120705721582658
EPCTL01,1,60,55,FPZ-Ref,0.5479597914486097,0.14671460344834653,0.06071949746775607,0.08875460849897347
EPCTL01,1,60,56,AFZ-Ref,0.5414447804690471,0.15232819434843692,0.059078424436685366,0.10603464290834484
EPCTL01,1,60,57,AF4-Ref,0.5252104926556064,0.15865240548847806,0.062266644712285345,0.10284120509075052
EPCTL01,1,60,58,AF8-Ref,0.5355943855484415,0.15842960505456735,0.05569455565836793,0.08964643314771059
EPCTL01,1,60,59,F2-Ref,0.5260177672175564,0.1588232597586981,0.056329202014677934,0.12233448561827073
EPCTL01,1,60,60,F6-Ref,0.496573962304181,0.1702691407966683,0.06017991266543524,0.10698589220494849
EPCTL01,1,60,61,F12,0.5621059224616527,0.1516388298084488,0.04711085618374628,0.07383215595188719
EPCTL01,1,60,62,FC2-Ref,0.5069938240773293,0.15784447572586957,0.0578862988830885,0.13893990302519704
EPCTL01,1,60,63,FC4-Ref,0.46452120513228573,0.15947799593237755,0.06991342277229484,0.1476872660439061
EPCTL01,1,60,64,FC6-Ref,0.4785978151948178,0.1701095419935815,0.061087378561765354,0.11592706838761052
EPCTL01,1,60,65,FT8-Ref,0.5124753161261021,0.1696065193096778,0.05154566279689022,0.0925046303046113
EPCTL01,1,60,66,FT10-Ref,0.5514012801452829,0.1588048389814348,0.046673229599748185,0.07562877795422904
EPCTL01,1,60,67,FT12,0.5669990872706391,0.15199974272945083,0.0460709921965371,0.07121730638599397
EPCTL01,1,60,68,C6-Ref,0.47736140341784633,0.16444479160759928,0.06267637186254665,0.12283813875990378
EPCTL01,1,60,69,C2-Ref,0.4141727790638614,0.21138748615950873,0.05613015841251868,0.1380044848301757
EPCTL01,1,60,70,CPZ-Ref,0.31808686403154707,0.27802246895585025,0.08121478363391679,0.12308487328922682
EPCTL01,1,60,71,CP2-Ref,0.38273378257708834,0.22751835176904023,0.07908758718209583,0.14060163043447324
EPCTL01,1,60,72,CP4-Ref,0.4203984923775647,0.1815242130516331,0.06855818305067445,0.16355722108607226
EPCTL01,1,60,73,CP6-Ref,0.4539018854188667,0.18179381302055106,0.06763991305535247,0.12280035162433593
EPCTL01,1,60,74,TP8-Ref,0.4895225430424626,0.17786967852948368,0.062300771539552074,0.10058735997648721
EPCTL01,1,60,75,TP10-Ref,0.5411313316713474,0.16364881622325217,0.05151855758468461,0.08135460083425261
EPCTL01,1,60,76,TP12,0.5613859343882481,0.14542791914683598,0.04439877145502826,0.08465732370678274
EPCTL01,1,60,77,P2-Ref,0.39845024778182936,0.23577133708752826,0.0814204337751216,0.11752007506554539
EPCTL01,1,60,78,P6-Ref,0.43176722124760547,0.20154717131093944,0.07295150610854355,0.11763838146731048
EPCTL01,1,60,79,P12,0.5704621469837966,0.15658644068394986,0.045171017506518966,0.06952871906159286
EPCTL01,1,60,80,PO4-Ref,0.4335506386707163,0.22062994290241425,0.07518810530281526,0.09845821069328478
EPCTL01,1,60,81,PO8-Ref,0.4442361508599667,0.20778502820325015,0.07559497660077623,0.09641724102493787
EPCTL01,1,60,82,ChEMG1,0.7135268044806973,0.10182591142972346,0.030262945790409477,0.04717569402395326
EPCTL01,1,60,83,ChEMG2,0.2567724955738298,0.1898318499950309,0.11718394548387968,0.2680270896742384
EPCTL01,1,60,84,RLEG-,0.41911109373847905,0.19334276242406764,0.08879770245190326,0.15919950107533629
EPCTL01,1,60,85,RLEG+,0.1949804796081035,0.16973449705553814,0.1387141053407548,0.3386071691858154
EPCTL01,1,60,86,LLEG-,0.6296268997476552,0.12317977484979324,0.044257263620127045,0.0682944997135936
EPCTL01,1,60,87,LLEG+,0.6234050283638624,0.1312565605371077,0.03923752726330261,0.06142155260484147
EPCTL01,1,60,88,EOG2,0.4456299231442596,0.129212148113037,0.08208345430659889,0.2086684516620579
EPCTL01,1,60,89,EOG1,0.6225368669193562,0.13932411056400026,0.04328094554777882,0.0632739211551666
EPCTL01,1,60,90,ECG2,0.193509723610279,0.1689696688777208,0.13897491155941954,0.3405034883447119
EPCTL01,1,60,91,ECG1,0.7028478997791585,0.10345101993143274,0.03476865902590554,0.05065831119483678
EPCTL01,1,60,92,CP5,0.4593083946043285,0.1984176176579191,0.06619357529128991,0.11601440526593258
EPCTL01,2,120,0,Fp1-Ref,0.5404073698474099,0.16071077090136426,0.0669231316332336,0.08913603481201561
EPCTL01,2,120,1,Fp2-Ref,0.5527052322642562,0.16779194046917342,0.060234221873415185,0.07900647101971295
EPCTL01,2,120,2,F3-Ref,0.5557958180240837,0.1346319510429138,0.06216620938707314,0.13193359084258363
EPCTL01,2,120,3,F4-Ref,0.5444224105449478,0.17870466715993033,0.05336319412486545,0.09291851995614346
EPCTL01,2,120,4,C3-Ref,0.4028660258792846,0.2151035170138376,0.06093140845337853,0.14494712454890965
EPCTL01,2,120,5,C4-Ref,0.4038098176146763,0.2147550286723962,0.06078136787783849,0.14479349261544638
EPCTL01,2,120,6,P3-Ref,0.5037014286495277,0.18339877622518125,0.06634309033805846,0.09296305325647183
EPCTL01,2,120,7,P4-Ref,0.5033950177880493,0.1865438277152986,0.06622888574635401,0.094738421680813
EPCTL01,2,120,8,O1-Ref,0.5300282771682695,0.18698284580368305,0.06033772791050839,0.06868599251987785
EPCTL01,2,120,9,O2-Ref,0.5159795996181562,0.2018517360335644,0.06120577985875785,0.06442323867236967
EPCTL01,2,120,10,F7-Ref,0.5313372046395296,0.16604296148100603,0.06050055915168625,0.08484372753577894
EPCTL01,2,120,11,F8-Ref,0.5534397403805648,0.17278513282498723,0.045597920119664855,0.08127021366232111
EPCTL01,2,120,12,T3-Ref,0.5034978434815023,0.17160862278152947,0.06346953874207932,0.08772416522405024
EPCTL01,2,120,13,T4-Ref,0.5307455519749952,0.17369287221462515,0.05162344876487289,0.08463978725862081
EPCTL01,2,120,14,T5-Ref,0.49175329869993356,0.18102170461704925,0.07350310159681953,0.09185989830353454
EPCTL01,2,120,15,T6-Ref,0.514903791077719,0.17776966500674926,0.06399554111359093,0.08541909828209569
EPCTL01,2,120,16,FZ-Ref,0.6879728836325032,0.11166197713609737,0.04313017057018546,0.06402561751171842
EPCTL01,2,120,17,CZ-Ref,0.38175027586151195,0.2556626083035106,0.05698836620244488,0.12162231129774746
EPCTL01,2,120,18,PZ-Ref,0.5184088970239878,0.19863733800238678,0.06459974945751248,0.07964801217146046
EPCTL01,2,120,19,SO1-Ref,0.5605645798838006,0.15728284178717675,0.06066953279216933,0.07901448873362309
EPCTL01,2,120,20,SO2-Ref,0.5629739450783692,0.16461694316467376,0.05392925833133037,0.07624013511450226
EPCTL01,2,120,21,F9-Ref,0.5613060572145939,0.15952553307242195,0.05277391996650195,0.0676924997625747
EPCTL01,2,120,22,F10-Ref,0.5801097034591741,0.16055106080755416,0.042814651957537864,0.068591774740697
EPCTL01,2,120,23,ZY1,0.5887173762901502,0.15171263105241614,0.04677062749017861,0.0565181512867135
EPCTL01,2,120,24,ZY2,0.5964942989260498,0.1476907638099755,0.043706294217633494,0.06344142063078559
EPCTL01,2,120,25,T9-Ref,0.5629895844816245,0.15577191345540867,0.05285322572294541,0.0644939510241725
EPCTL01,2,120,26,T10-Ref,0.5835348090121482,0.15500749804859176,0.04328251010968459,0.0654339347728653
EPCTL01,2,120,27,P9-Ref,0.5529628787740326,0.15534702072855286,0.059268491138338604,0.08070593506678976
EPCTL01,2,120,28,P10-Ref,0.5834908400324973,0.15243448471301996,0.049402174382272755,0.06964285345136582
EPCTL01,2,120,29,AF7-Ref,0.5508208507991188,0.16050572354281945,0.0602558692219595,0.08161508051963573
EPCTL01,2,120,30,AF3-Ref,0.5339578666340836,0.15726964776179514,0.07027316622787644,0.1046246487052017
EPCTL01,2,120,31,F11,0.5898777735357958,0.15092922019972507,0.04706165180259185,0.05678275434523947
EPCTL01,2,120,32,F5-Ref,0.5195048936376925,0.16209710610873876,0.06575108631867244,0.10858366916228948
EPCTL01,2,120,33,F1-Ref,0.6549446958007685,0.11507990192337934,0.05084905460593991,0.08131747172315087
EPCTL01,2,120,34,FT11,0.5989322849499688,0.14753163836087468,0.04561713347443289,0.053390543203334806
EPCTL01,2,120,35,FT9-Ref,0.5573829872894317,0.15954009742477296,0.05300377879391539,0.06681365267208327
EPCTL01,2,120,36,FT7-Ref,0.510985553187836,0.166121567933181,0.06188405235617948,0.09261567742946876
EPCTL01,2,120,37,FC5-Ref,0.5080061125357963,0.1680881895598863,0.06341440011987394,0.10589337984443441
EPCTL01,2,120,38,FC3-Ref,0.5751204479341072,0.13147481605265646,0.056538702603542025,0.11742588504525961
EPCTL01,2,120,39,FC1-Ref,0.6613781693448624,0.10427767100341065,0.04251926218538299,0.0842774580167425
