,stage,time_index,time_step
0,L,0,30
1,L,30,30
2,L,60,30
3,L,90,30
4,L,120,30
5,L,150,30
6,L,180,30
7,L,210,30
8,L,240,30
9,L,270,30
10,L,300,30
11,L,330,30
12,L,360,30
13,L,390,30
14,L,420,30
15,W,450,30
16,W,480,30
17,W,510,30
18,W,540,30
19,W,570,30
20,W,600,30
21,W,630,30
22,W,660,30
23,W,690,30
24,W,720,30
25,W,750,30
26,W,780,30
27,W,810,30
28,W,840,30
29,W,870,30
30,W,900,30
31,W,930,30
32,W,960,30
33,W,990,30
34,W,1020,30
35,W,1050,30
36,W,1080,30
37,W,1110,30
38,W,1140,30
39,W,1170,30
40,W,1200,30
41,W,1230,30
42,W,1260,30
43,W,1290,30
44,W,1320,30
45,W,1350,30
46,W,1380,30
47,W,1410,30
48,W,1440,30
49,W,1470,30
50,W,1500,30
51,W,1530,30
52,W,1560,30
53,W,1590,30
54,W,1620,30
55,W,1650,30
56,W,1680,30
57,W,1710,30
58,W,1740,30
59,W,1770,30
60,W,1800,30
61,W,1830,30
62,W,1860,30
63,W,1890,30
64,W,1920,30
65,W,1950,30
66,W,1980,30
67,W,2010,30
68,W,2040,30
69,W,2070,30
70,W,2100,30
71,W,2130,30
72,W,2160,30
73,W,2190,30
74,W,2220,30
75,W,2250,30
76,W,2280,30
77,W,2310,30
78,W,2340,30
79,W,2370,30
80,W,2400,30
81,W,2430,30
82,W,2460,30
83,W,2490,30
84,W,2520,30
85,W,2550,30
86,W,2580,30
87,W,2610,30
88,W,2640,30
89,W,2670,30
90,W,2700,30
91,W,2730,30
92,W,2760,30
93,W,2790,30
94,W,2820,30
95,W,2850,30
96,W,2880,30
97,W,2910,30
98,W,2940,30
99,W,2970,30
100,W,3000,30
101,W,3030,30
102,W,3060,30
103,W,3090,30
104,W,3120,30
105,W,3150,30
106,W,3180,30
107,W,3210,30
108,W,3240,30
109,W,3270,30
110,W,3300,30
111,W,3330,30
112,W,3360,30
113,W,3390,30
114,W,3420,30
115,W,3450,30
116,W,3480,30
117,W,3510,30
118,W,3540,30
119,W,3570,30
120,W,3600,30
121,W,3630,30
122,W,3660,30
123,N1,3690,30
124,N1,3720,30
125,N1,3750,30
126,N1,3780,30
127,N1,3810,30
128,W,3840,30
129,W,3870,30
130,W,3900,30
131,W,3930,30
132,W,3960,30
133,W,3990,30
134,W,4020,30
135,W,4050,30
136,W,4080,30
137,W,4110,30
138,W,4140,30
139,W,4170,30
140,W,4200,30
141,W,4230,30
142,W,4260,30
143,W,4290,30
144,W,4320,30
145,W,4350,30
146,W,4380,30
147,W,4410,30
148,W,4440,30
149,W,4470,30
150,W,4500,30
151,W,4530,30
152,W,4560,30
153,W,4590,30
154,W,4620,30
155,W,4650,30
156,W,4680,30
157,W,4710,30
158,W,4740,30
159,W,4770,30
160,W,4800,30
161,W,4830,30
162,W,4860,30
163,W,4890,30
164,W,4920,30
165,W,4950,30
166,W,4980,30
167,W,5010,30
168,W,5040,30
169,W,5070,30
170,W,5100,30
171,N1,5130,30
172,W,5160,30
173,W,5190,30
174,W,5220,30
175,W,5250,30
176,W,5280,30
177,W,5310,30
178,W,5340,30
179,W,5370,30
180,W,5400,30
181,W,5430,30
182,W,5460,30
183,W,5490,30
184,W,5520,30
185,W,5550,30
186,W,5580,30
187,N1,5610,30
188,W,5640,30
189,N1,5670,30
190,N1,5700,30
191,N1,5730,30
192,N1,5760,30
193,N2,5790,30
194,N2,5820,30
195,N2,5850,30
196,N1,5880,30
197,N1,5910,30
198,N2,5940,30
199,N1,5970,30
200,N1,6000,30
201,W,6030,30
202,N1,6060,30
203,N1,6090,30
204,N1,6120,30
205,N2,6150,30
206,W,6180,30
207,W,6210,30
208,W,6240,30
209,W,6270,30
210,W,6300,30
211,W,6330,30
212,W,6360,30
213,W,6390,30
214,W,6420,30
215,W,6450,30
216,N1,6480,30
217,N1,6510,30
218,N1,6540,30
219,N1,6570,30
220,N1,6600,30
221,N2,6630,30
222,N1,6660,30
223,N1,6690,30
224,N2,6720,30
225,N2,6750,30
226,W,6780,30
227,W,6810,30
228,W,6840,30
229,W,6870,30
230,W,6900,30
231,W,6930,30
